0,0.001,0.01,0.1,1,2,4,5,10,15,25,40,60,85,100
0.0069163,0.012304,0.040322,0.10024,0.073253,0.15156,0.25311,0.29293,0.47898,0.57942,0.70297,0.87305,1.0343,1.1662,1.2327
18018,0.31499,0.14609,0.14668,0.09393,0.10244,0.13932,0.17139,0.43618,0.55316,0.65656,0.85607,1.0538,1.2355,1.3125
